"character","asylum_total_2004","asylum_applicants_2004","asylum_spouses_2004","asylum_children_2004","asylum_total_2005","asylum_applicants_2005","asylum_spouses_2005","asylum_children_2005","asylum_total_2006","asylum_applicants_2016.x","asylum_spouses_2006","asylum_children_2016.x","asylum_total_2007","asylum_applicants_2007","asylum_spouses_2007","asylum_children_2007","asylum_total_2008","asylum_applicants_2008","asylum_spouses_2008","asylum_children_2008","asylum_total_2009","asylum_applicants_2009","asylum_spouses_2009","asylum_children_2009","asylum_total_2010","asylum_applicants_2010","asylum_spouses_2010","asylum_children_2010","asylum_total_2011","asylum_applicants_2011","asylum_spouses_2011","asylum_children_2011","asylum_total_2012","asylum_applicants_2012","asylum_spouses_2012","asylum_children_2012","asylum_total_2013","asylum_applicants_2013","asylum_spouses_2013","asylum_children_2013","asylum_total_2014","asylum_applicants_2014","asylum_spouses_2014","asylum_children_2014","asylum_total_2015","asylum_applicants_2015","asylum_spouses_2015","asylum_children_2015","asylum_total_2016","asylum_applicants_2016.y","asylum_spouses_2016","asylum_children_2016.y"
"Total","12,187","8,919","1,424","1,844","13,520","9,401","1,732","2,387","12,873","8,951","1,591","2,331","12,463","8,987","1,481","1,995","12,187","8,919","1,424","1,844","11,933","8,931","1,362","1,640","11,244","8,730","1,147","1,367","13,484","10,306","1,455","1,723","17,506","12,716","2,236","2,554","15,266","10,574","2,030","2,662","14,758","10,023","1,995","2,740","17,878","13,499","1,836","2,543","11,729","8,943","1,186","1,600"
"Under 1 year","1","-","-","1","D","-","-","D","D","-","-","D","D","-","-","D","1","-","-","1","4","         -","         -","4","D","-","-","D","3","-","-","D"," D "," - "," - "," D ","10","-","-","10","11","-","-","11","3","-","-","3","-","-","-","-"
"1 to 4 years","224","-","-","224","275","D","-","D","252","-","-","252","220","D","-","D","224","-","-","224","222","D","         -","D","217","D","-","D","308","D","-","D","546"," D "," - "," D ","542","3","-","539","535","D","-","D","497","21","-","476","250","22","-","228"
"5 to 9 years","451","5","-","446","655","4","-","651","632","D","-","D","492","D","-","D","451","5","-","446","411","D","         -","D","394","D","-","D","529","D","-","D","762"," D "," - "," D ","820","4","-","816","892","11","-","881","1,020","203","-","817","680","184","-","496"
"10 to 14 years","505","20","-","485","714","19","-","695","655","13","-","642","534","13","-","521","505","20","-","485","428","31","         -","397","396","36","-","360","499","29","-","470","691","33"," - ","658","720","24","-","696","749","D","D","688","1,625","982","-","643","1,246","814","-","432"
"15 to 19 years","726","261","5","460","776","D","D","560","799","D","D","574","774","D","D","553","726","261","5","460","791","380","D","D","772","457","D","D","884","540","D","D","1,099","607","8","484","868","360","D","D","1,037","520","D","D","3,928","3,450","D","D","2,797","2,489","-","308"
"20 to 24 years","1,621","1,338","98","185","1,395","1125","76","194","1,340","1067","73","200","1,452","1,183","88","181","1,621","1,338","98","185","1,932","1,610","156","166","2,035","1,836","127","72","2,718","2,473","174","71","2,910","2,613","194","103","1,918","1,695","D","D","1,514","1,322","82","110","1,405","1,219","61","125","798","630","D","D"
"25 to 29 years","1,997","1,735","222","40","1,886","1656","222","8","1,795","1548","216","31","1,792","1,557","209","26","1,997","1,735","222","40","2,029","1,782","218","29","2,139","1,896","227","16","2,601","2,279","315","7","3,277","2,805"," D "," D ","2,687","2,304","383","-","2,427","2,076","D","D","2,266","1,936","D","D","1,328","1,144","D","D"
"30 to 34 years","1,702","1,433","266","3","2,052","1715","334","3","1,939","1646","D","D","1,813","1,516","D","D","1,702","1,433","266","3","1,665","1,405","251","9","1,604","1,344","D","D","1,824","1,544","D","D","2,581","2,087","494"," - ","2,351","1,898","453","-","2,337","1,887","D","D","2,235","1,786","D","D","1,402","1,114","288","-"
"35 to 39 years","1,597","1,349","248","-","2,003","1629","374","-","1,823","1488","335","-","1,704","1,417","287","-","1,597","1,349","248","-","1,389","1,175","D","D","1,259","1,080","179","-","1,399","1,141","258","-","1,845","1,490","355"," - ","1,720","1,378","342","-","1,800","1,440","360","-","1,763","1,414","349","-","1,072","838","234","-"
"40 to 44 years","1,277","1,055","222","-","1,702","1371","331","-","1,486","1199","287","-","1,459","1,228","231","-","1,277","1,055","222","-","1,207","1,007","200","         -","971","830","141","-","1,117","926","191","-","1,598","1,277","321"," - ","1,448","1,165","283","-","1,375","1,093","282","-","1,284","1,018","266","-","809","640","169","-"
"45 to 49 years","905","744","161","-","979","771","208","-","986","804","182","-","1,009","835","174","-","905","744","161","-","854","699","155","         -","671","572","99","-","789","674","115","-","1,051","871","180"," - ","1,001","792","209","-","868","668","200","-","762","595","167","-","556","436","120","-"
"50 to 54 years","575","475","100","-","562","471","91","-","574","467","107","-","607","509","98","-","575","475","100","-","468","388","80","         -","378","324","54","-","417","350","67","-","543","449","94"," - ","513","413","100","-","504","398","106","-","472","387","85","-","326","261","65","-"
"55 to 59 years","302","251","51","-","245","199","46","-","305","254","51","-","301","248","53","-","302","251","51","-","254","220","34","         -","187","161","26","-","204","172","32","-","312","249","63"," - ","292","241","51","-","302","233","69","-","254","194","60","-","188","149","39","-"
"60 to 64 years","143","121","22","-","128","103","25","-","147","126","21","-","146","130","16","-","143","121","22","-","132","111","21","         -","107","87","20","-","95","82","13","-","139","109","30"," - ","145","112","33","-","162","132","30","-","141","115","26","-","110","92","18","-"
"65 to 74 years","123","97","26","-","D","92","D","-","106","85","21","-","124","99","25","-","123","97","26","-","120","97","23","         -","84","71","13","-","77","70","7","-","110","88","22"," - ","162","127","35","-","181","128","53","-","146","110","36","-","130","98","32","-"
"75 years and over","38","35","3","-","33","29","4","-","D","D","D","-","33","D","D","-","38","35","3","-","27","21","6","         -","D","D","D","-","20","D","D","-"," D "," D "," D "," - ","69","58","11","-","64","53","11","-","77","69","8","-","37","32","5","-"
